sepal_len;sepal_wid;petal_len;petal_wid;target;sepal_area;petal_area;flower
6.1;2.8;4.7;1.2;1;17.08;5.64;[5.64, 17.08]
5.7;3.8;1.7;0.3;0;21.66;0.51;[0.51, 21.66]
7.7;2.6;6.9;2.3;2;20.02;15.87;[15.87, 20.02]
6.0;2.9;4.5;1.5;1;17.4;6.75;[6.75, 17.4]
6.8;2.8;4.8;1.4;1;19.04;6.72;[6.72, 19.04]
5.4;3.4;1.5;0.4;0;18.36;0.6000000000000001;[0.6000000000000001, 18.36]
5.6;2.9;3.6;1.3;1;16.24;4.680000000000001;[4.680000000000001, 16.24]
6.9;3.1;5.1;2.3;2;21.39;11.729999999999999;[11.729999999999999, 21.39]
6.2;2.2;4.5;1.5;1;13.640000000000002;6.75;[6.75, 13.640000000000002]
5.8;2.7;3.9;1.2;1;15.66;4.68;[4.68, 15.66]
6.5;3.2;5.1;2.0;2;20.8;10.2;[10.2, 20.8]
4.8;3.0;1.4;0.1;0;14.399999999999999;0.13999999999999999;[0.13999999999999999, 14.399999999999999]
5.5;3.5;1.3;0.2;0;19.25;0.26;[0.26, 19.25]
4.9;3.1;1.5;0.1;0;15.190000000000001;0.15000000000000002;[0.15000000000000002, 15.190000000000001]
5.1;3.8;1.5;0.3;0;19.38;0.44999999999999996;[0.44999999999999996, 19.38]
6.3;3.3;4.7;1.6;1;20.79;7.5200000000000005;[7.5200000000000005, 20.79]
6.5;3.0;5.8;2.2;2;19.5;12.76;[12.76, 19.5]
5.6;2.5;3.9;1.1;1;14.0;4.29;[4.29, 14.0]
5.7;2.8;4.5;1.3;1;15.959999999999999;5.8500000000000005;[5.8500000000000005, 15.959999999999999]
6.4;2.8;5.6;2.2;2;17.919999999999998;12.32;[12.32, 17.919999999999998]
4.7;3.2;1.6;0.2;0;15.040000000000001;0.32000000000000006;[0.32000000000000006, 15.040000000000001]
6.1;3.0;4.9;1.8;2;18.299999999999997;8.82;[8.82, 18.299999999999997]
5.0;3.4;1.6;0.4;0;17.0;0.6400000000000001;[0.6400000000000001, 17.0]
6.4;2.8;5.6;2.1;2;17.919999999999998;11.76;[11.76, 17.919999999999998]
7.9;3.8;6.4;2.0;2;30.02;12.8;[12.8, 30.02]
