dimensions;clusters;delta;sample_size;data;true_means;true_labels 
1;3;0.25;25;[1.5601660560288153, 0.25322059591954077, 1.6880244673534488, 2.6306726497071447, -0.7566303186083108, 0.40153978689222625, -0.18595408823430082, -0.06989703542207604, 2.5185388079793176, 2.8999419183857365, 3.1465335192884094, 1.3430321212157779, 2.179701025815812, 0.8697828510746071, -1.0056229965869017, 1.0737908277723807, 3.275500253540919, 0.3555752821443906, -0.4267829286198852, 1.8215703453381553, 0.8328969749536612, -0.1534498187200637, -0.6291810726284612, 1.0247612994985278, 1.4852525024196803];[0.75, 1.0, 1.25];[2, 0, 0, 2, 0, 1, 0, 2, 0, 2, 2, 0, 2, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 1]
1;3;0.5;25;[2.3194534598806946, 1.4070063811549471, 1.5704476347586966, 0.2361029619164341, -0.7801084237992135, 0.35509873607226816, 2.00692256241003, 1.6101302688828578, 2.1989348461255673, -0.6215185101123892, -0.05858079744264799, 0.4647885589760632, -0.07774474734324555, 0.9556086008868283, 0.17156849181724032, -1.2436485983059136, 1.3429126145517452, 1.4190199522490612, -0.19142114978201852, 1.0200054352969052, 1.3417133669209704, 2.5169289359344633, 0.6901542936458511, 1.9497983780164985, 0.6324687032044547];[0.5, 1.0, 1.5];[2, 2, 2, 1, 0, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0]
1;3;0.75;25;[-0.14290286969460686, -0.2660402759557221, -0.6123931583343658, 3.3325691757347506, 0.6634058640543571, 2.567906172921597, 2.2123762939914884, -0.7405177616607447, 1.0071169552599937, 2.948749345851166, 0.8157086719249651, 2.4045092387826594, 0.8601156628385519, 1.060883732869304, -0.7133204248560185, 2.855817063338109, 1.744225371389877, 1.8821109764061728, -0.0624092363465612, 1.1084811415095408, 1.1238973985773826, 1.462647427418325, 0.5685103731079668, 1.8196508390679489, 1.4814820880799875];[0.25, 1.0, 1.75];[0, 0, 1, 2, 0, 2, 2, 0, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 2, 1, 1, 2, 0, 1]
1;3;1;25;[0.848185379573899, 1.8419433428691692, 2.3708067387792733, 0.9231153194898677, 2.836151260996682, 0.006173007979004996, 3.4232497777123365, 1.6195792304802237, 0.7763700900954424, 0.49740132901272166, -1.3247795232342243, 0.7306741716357796, 2.4932410858614293, 3.0304212370993793, 2.2534463319185893, 1.8343355942919506, 2.776599911533945, 1.0581538824081345, 1.6165349122913577, 2.617327865341835, 0.9230623009984288, -0.1328330102157793, -1.2081454819150093, 1.5256211131807436, 1.6464504597213963];[0.0, 1.0, 2.0];[0, 2, 2, 1, 2, 1, 2, 1, 1, 0, 1, 0, 1, 2, 2, 2, 1, 1, 0, 1, 1, 1, 1, 2, 1]
1;3;3;25;[3.407637312385849, -2.201245226946436, 1.1538233704535161, -2.169791126184553, 0.2649502637737624, 3.391843656761761, 1.5211290005075113, -0.9373131867319522, 2.2159947081549807, -4.150716792206938, 1.5799124687254436, 0.6217858625512789, 0.3449076167358597, -2.6504500195196736, -2.1243965097464783, 5.325496954587529, 0.5264318234340755, 3.3297652217336964, 4.529335773541446, 1.0925258896893149, 2.5577710312037505, -0.06211611652975346, -2.554976101703991, -3.0032358430243367, 0.7319181277849999];[-2.0, 1.0, 4.0];[2, 0, 1, 0, 1, 2, 1, 0, 1, 0, 1, 1, 1, 0, 0, 2, 1, 2, 2, 1, 1, 1, 0, 0, 1]
1;3;6;25;[-4.383099615522003, -5.335031922388112, 0.025894545269122604, 5.479889170445851, 2.4273933497011373, -4.039996043339421, -4.2989829655008895, 0.11056916874774503, 5.5726034509896945, 7.7104105685945035, -5.815456289772803, 0.5493047631195409, 7.366188112468891, 7.26848290383979, 5.668243143090144, -3.8861268249048213, -5.611915755701805, -5.603558816578483, 4.859598997653317, 7.021341112007518, -3.7369860707590528, -5.447669212390006, 2.3468659085383683, 6.54055065343404, 5.574257975781885];[-5.0, 1.0, 7.0];[0, 0, 1, 2, 1, 0, 0, 1, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 1, 2, 2]
1;3;0.25;50;[1.6190693066320496, 1.0830888528647837, 1.1735048658763694, 1.1367290470275666, 0.48091973070013183, 2.2475040598190237, 1.1986542498561428, -0.4270476278911315, 2.4818334215445805, 2.3924992349025733, 1.896597132803588, 1.8438626304355425, 2.313016730731448, 0.7750466908768506, 2.1671476842478175, 1.953572141305451, 0.797469000129031, 2.725649422649444, 1.9283619883553014, 1.857251960614883, 0.7461783764838736, 0.16308102673029357, 1.3186076496135883, 0.04080021011008994, 2.031955820702099, 2.862766131725852, 0.6508890175746711, 0.9698950797434612, 1.6960516689741498, 1.0570537687956783, 1.3854075656355602, 1.1241219609713022, 1.716117457605125, 0.7885898153799896, 2.7115281830176405, -1.3133202930690682, -0.5844838427191703, -0.42351072654484945, 0.6640986946753317, 1.2719385744115883, 1.998487478680574, 2.0576483920767292, 0.022876541320801413, 1.4997362750116054, 1.3157870081662026, 1.730631475822515, 1.5582957946711975, 1.3230961093883853, 1.0041649032918933, 0.4319314487852085];[0.75, 1.0, 1.25];[0, 1, 2, 0, 2, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 2, 2, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 1, 0, 0]
1;3;0.5;50;[1.2803682647069758, -0.7906015869979552, 0.9532621902761482, -0.2538214151585013, -0.11885006813715449, 1.9043307692892126, 0.22399966026001183, 0.520282733492014, 0.5097041025761521, -0.23574884002048546, -0.844063604217018, 1.9347547439855695, 1.0610237382153074, 1.3092428003547472, -0.3376534804828568, 0.8825485759404349, 2.150505767837713, 0.5867808538115933, -0.9495559220713432, 0.8884921940222953, 2.260738792717233, 0.4937004018389944, 1.9686244512607205, 2.334956706068952, 1.7220982618455034, 1.6361183074205692, 1.8300864373845758, 1.3594855589869814, 0.5023999605076428, 0.9817355319158805, 1.5738138123564362, -0.09433399556770061, 1.8020617202408324, 1.1532561520294207, 2.0553985104289234, -0.09252663581301868, 0.5554916800586646, 1.0155787669957959, 0.9602614133577092, -0.13481008078555168, 1.2893373157717776, -0.9912405134692865, 1.432414704721055, 1.259337128591047, 2.0565894305840096, -0.4896042255955313, 1.9121769252379033, -0.03836018567788346, 0.7756140881873447, -0.19264728644984186];[0.5, 1.0, 1.5];[2, 2, 0, 0, 0, 2, 1, 0, 0, 1, 0, 2, 1, 2, 1, 1, 2, 0, 0, 1, 2, 0, 2, 2, 2, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 1, 1, 2, 0, 2, 0, 1, 0, 2, 0, 1, 1]
1;3;0.75;50;[2.2051333321130246, -0.06842089317946742, -0.5967119456321672, -0.04972693282272522, -0.11373715765518666, -2.045977134020944, 2.204472975065379, 1.8333324833748936, -1.335513646995621, 2.6807672890841223, -0.2863776398639378, 2.256329201804249, 1.3127648697756955, 1.0329707486146094, 3.0885351486509443, 0.07222172209239547, 0.6272328804674949, 1.1459042064825877, 1.0826168002175702, 1.2226964031366931, 1.554616074659386, -1.4509303259058244, 2.6959964352459864, 0.597207121965152, -0.41782849152743673, 0.5810073431351632, 1.4429539513331142, 0.9233254194828739, 2.8300333622522484, -1.267442403990824, -0.843303566643925, 0.06233342420411056, 0.9629658710494992, 2.0051945135727918, 1.6765379098750723, 1.4759129502257808, -1.026196042025079, 0.31668380588051903, 2.621413015985075, 1.6234850880946257, 0.7936576167345977, 3.012647413623234, 1.8584001353238042, 2.75322651737088, 1.975539059334843, 0.7215021744306234, 1.8770380741540618, 2.102197212105714, -1.7997679363054297, 0.12191027299472396];[0.25, 1.0, 1.75];[2, 2, 0, 0, 1, 0, 2, 0, 0, 2, 0, 2, 2, 1, 2, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 0, 0]
1;3;1;50;[1.992578581813426, 1.1362434400752806, 2.4177456682177745, 2.06262858896904, 4.0405077479893, -0.03378424855291037, -0.8994407328739021, 0.5538890212039115, 1.1407283013688243, -0.19727015997990377, 1.5658533834912711, -0.7100169351016306, 0.6052118478815188, 0.7045471984176761, -0.5649901764893361, 2.6365163253636528, 0.29452658667990866, 1.8980858995306336, 1.4454892467619604, -0.5327052249352175, 2.2714012650987, 1.5792280978527653, 1.7890961534531338, 0.3285106082174061, 2.817436351232427, 3.575938362670746, 0.9742852591421014, 1.9731522990546995, 1.0837811300313205, 0.6231515020235241, -0.38886683104954756, -0.008546863656291977, 0.9297054334638417, -1.8525523485506135, 0.7689835482480722, 3.80141594551188, 0.48684581955293704, 1.020512837586431, -0.272547057745074, 0.4464643179039287, 1.1648893599827645, 1.0820827454020334, 0.7451002887899265, 3.4944476964037694, 1.2888538355870098, 0.18879852937232983, 1.4792313692746557, 2.6444682388666463, 0.07933651277879739, 0.4189922401619786];[0.0, 1.0, 2.0];[1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 1, 2, 1, 0, 2, 2, 1, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 2, 0, 1, 2, 2, 0, 0, 2, 1, 0]
